iter	Passed	Remaining
0	103	103018
1	186	93182
2	278	92599
3	353	88057
4	428	85277
5	503	83442
6	590	83800
7	678	84130
8	762	83905
9	845	83681
10	921	82867
11	1006	82836
12	1085	82396
13	1155	81392
14	1222	80288
15	1300	79986
16	1364	78876
17	1439	78510
18	1506	77785
19	1579	77402
20	1648	76853
21	1726	76730
22	1807	76789
23	1882	76536
24	1951	76125
25	2024	75822
26	2101	75725
27	2182	75778
28	2263	75789
29	2348	75932
30	2430	75969
31	2526	76422
32	2606	76374
33	2697	76646
34	2781	76676
35	2855	76463
36	2938	76474
37	3021	76484
38	3092	76192
39	3155	75728
40	3217	75253
41	3299	75258
42	3383	75293
43	3471	75421
44	3551	75367
45	3633	75345
46	3709	75216
47	3789	75166
48	3880	75304
49	3962	75293
50	4071	75770
51	4169	76014
52	4270	76299
53	4377	76692
54	4477	76926
55	4565	76960
56	4650	76938
57	4741	77008
58	4842	77231
59	4940	77398
60	5034	77505
61	5125	77543
62	5205	77418
63	5302	77541
64	5399	77664
65	5487	77659
66	5576	77648
67	5666	77670
68	5779	77980
69	5866	77947
70	5949	77850
71	6034	77773
72	6116	77675
73	6195	77530
74	6285	77516
75	6373	77488
76	6449	77306
77	6531	77203
78	6612	77088
79	6701	77067
80	6789	77028
81	6854	76741
82	6922	76484
83	6985	76176
84	7044	75829
85	7118	75652
86	7186	75420
87	7247	75115
88	7321	74942
89	7397	74791
90	7465	74573
91	7536	74386
92	7610	74224
93	7684	74061
94	7763	73954
95	7835	73784
96	7902	73569
97	7972	73380
98	8048	73247
99	8123	73109
100	8191	72915
101	8259	72715
102	8339	72628
103	8422	72561
104	8497	72431
105	8559	72191
106	8629	72022
107	8698	71847
108	8752	71545
109	8819	71355
110	8875	71086
111	8923	70749
112	8968	70394
113	9009	70021
114	9054	69681
115	9094	69304
116	9130	68911
117	9164	68497
118	9198	68098
119	9233	67709
120	9271	67348
121	9313	67023
122	9355	66704
123	9390	66339
124	9416	65914
125	9437	65462
126	9457	65010
127	9476	64558
128	9496	64119
129	9514	63676
130	9533	63239
131	9550	62804
132	9570	62387
133	9588	61964
134	9604	61539
135	9620	61119
136	9637	60707
137	9652	60295
138	9668	59888
139	9685	59497
140	9701	59104
141	9716	58708
142	9738	58361
143	9754	57983
144	9769	57608
145	9786	57243
146	9803	56885
147	9819	56529
148	9836	56179
149	9851	55824
150	9866	55476
151	9882	55134
152	9897	54792
153	9914	54463
154	9932	54147
155	9949	53830
156	9965	53511
157	9980	53186
158	9998	52887
159	10017	52589
160	10034	52291
161	10051	51992
162	10068	51699
163	10086	51419
164	10104	51135
165	10122	50856
166	10140	50579
167	10157	50304
168	10174	50030
169	10193	49767
170	10216	49528
171	10250	49347
172	10327	49371
173	10411	49422
174	10495	49478
175	10584	49556
176	10678	49653
177	10771	49744
178	10869	49854
179	10977	50007
180	11050	50003
181	11150	50116
182	11239	50177
183	11344	50308
184	11432	50365
185	11527	50446
186	11621	50523
187	11706	50561
188	11794	50609
189	11888	50684
190	11968	50692
191	12056	50736
192	12145	50786
193	12248	50887
194	12357	51014
195	12477	51185
196	12563	51209
197	12644	51217
198	12728	51233
199	12818	51273
200	12889	51236
201	12965	51219
202	13034	51173
203	13110	51155
204	13179	51109
205	13259	51108
206	13337	51095
207	13426	51122
208	13496	51081
209	13560	51011
210	13616	50916
211	13673	50825
212	13728	50724
213	13778	50607
214	13837	50521
215	13898	50444
216	13969	50405
217	14055	50420
218	14147	50453
219	14231	50456
220	14318	50470
221	14384	50410
222	14460	50383
223	14549	50402
224	14625	50375
225	14702	50354
226	14767	50287
227	14826	50201
228	14878	50094
229	14937	50007
230	14988	49897
231	15040	49787
232	15098	49703
233	15160	49628
234	15216	49534
235	15288	49492
236	15375	49500
237	15456	49485
238	15541	49486
239	15618	49457
240	15688	49407
241	15766	49384
242	15856	49395
243	15939	49387
244	16010	49339
245	16076	49274
246	16134	49187
247	16197	49116
248	16254	49023
249	16316	48948
250	16391	48912
251	16478	48913
252	16557	48885
253	16651	48904
254	16739	48906
255	16828	48907
256	16903	48869
257	16984	48848
258	17070	48837
259	17152	48817
260	17233	48795
261	17303	48739
262	17361	48652
263	17414	48548
264	17478	48478
265	17572	48489
266	17665	48497
267	17742	48461
268	17837	48472
269	17926	48468
270	18032	48508
271	18120	48499
272	18205	48481
273	18294	48472
274	18381	48460
275	18485	48491
276	18579	48493
277	18677	48508
278	18747	48448
279	18814	48379
280	18879	48308
281	18948	48244
282	19018	48185
283	19087	48123
284	19158	48065
285	19216	47973
286	19264	47860
287	19316	47754
288	19368	47650
289	19420	47546
290	19486	47478
291	19565	47439
292	19654	47425
293	19734	47389
294	19808	47339
295	19893	47315
296	19975	47282
297	20065	47267
298	20139	47215
299	20218	47176
300	20295	47132
301	20354	47045
302	20415	46962
303	20472	46870
304	20523	46766
305	20575	46665
306	20631	46573
307	20726	46568
308	20814	46547
309	20895	46510
310	20976	46473
311	21049	46417
312	21129	46376
313	21217	46355
314	21313	46348
315	21411	46347
316	21485	46291
317	21552	46223
318	21617	46148
319	21672	46053
320	21743	45993
321	21809	45922
322	21884	45868
323	21963	45824
324	22034	45763
325	22120	45732
326	22197	45685
327	22293	45673
328	22371	45627
329	22457	45596
330	22550	45578
331	22646	45566
332	22739	45547
333	22821	45505
334	22904	45466
335	22978	45410
336	23063	45374
337	23158	45357
338	23255	45344
339	23337	45301
340	23422	45264
341	23501	45216
342	23569	45146
343	23643	45088
344	23737	45066
345	23841	45065
346	23969	45107
347	24125	45199
348	24257	45247
349	24358	45236
350	24457	45222
351	24527	45152
352	24601	45091
353	24674	45027
354	24764	44994
355	24848	44950
356	24917	44879
357	25004	44840
358	25082	44785
359	25162	44732
360	25266	44723
361	25366	44707
362	25494	44737
363	25606	44740
364	25705	44721
365	25794	44681
366	25873	44626
367	25970	44601
368	26046	44540
369	26118	44472
370	26202	44423
371	26285	44374
372	26376	44338
373	26461	44290
374	26554	44257
375	26633	44200
376	26707	44135
377	26773	44056
378	26840	43978
379	26901	43891
380	26959	43800
381	27034	43736
382	27121	43692
383	27203	43639
384	27293	43598
385	27385	43561
386	27463	43501
387	27564	43477
388	27660	43446
389	27746	43398
390	27820	43331
391	27915	43297
392	27985	43223
393	28051	43145
394	28130	43085
395	28189	42995
396	28256	42918
397	28338	42863
398	28420	42809
399	28495	42743
400	28561	42664
401	28628	42586
402	28708	42527
403	28795	42480
404	28877	42425
405	28950	42356
406	29036	42306
407	29124	42259
408	29213	42213
409	29301	42165
410	29394	42125
411	29503	42107
412	29589	42055
413	29673	42002
414	29762	41954
415	29838	41888
416	29914	41822
417	29986	41752
418	30074	41701
419	30159	41648
420	30240	41589
421	30321	41530
422	30389	41452
423	30472	41397
424	30567	41356
425	30654	41304
426	30755	41271
427	30846	41224
428	30922	41157
429	30985	41073
430	31058	41002
431	31124	40922
432	31191	40844
433	31262	40771
434	31369	40744
435	31472	40711
436	31555	40653
437	31651	40612
438	31752	40576
439	31856	40545
440	31948	40496
441	32050	40462
442	32154	40429
443	32233	40364
444	32318	40307
445	32386	40229
446	32442	40135
447	32500	40045
448	32561	39958
449	32624	39874
450	32695	39800
451	32747	39702
452	32798	39603
453	32881	39544
454	32966	39486
455	33043	39420
456	33139	39376
457	33216	39309
458	33295	39243
459	33373	39177
460	33457	39118
461	33531	39048
462	33599	38970
463	33662	38885
464	33719	38795
465	33769	38697
466	33815	38594
467	33856	38486
468	33899	38381
469	33953	38287
470	34010	38199
471	34073	38116
472	34159	38059
473	34233	37988
474	34320	37932
475	34397	37866
476	34491	37817
477	34577	37759
478	34672	37712
479	34758	37654
480	34866	37620
481	34966	37578
482	35064	37533
483	35164	37489
484	35261	37442
485	35344	37381
486	35423	37314
487	35495	37241
488	35577	37177
489	35668	37124
490	35759	37070
491	35845	37011
492	35925	36945
493	35998	36873
494	36066	36794
495	36139	36722
496	36211	36649
497	36297	36589
498	36388	36534
499	36489	36489
500	36568	36422
501	36636	36344
502	36715	36277
503	36783	36199
504	36858	36128
505	36928	36052
506	37012	35990
507	37083	35915
508	37161	35847
509	37248	35787
510	37361	35752
511	37464	35708
512	37575	35671
513	37654	35603
514	37748	35549
515	37835	35488
516	37926	35432
517	38017	35374
518	38118	35327
519	38211	35272
520	38317	35228
521	38410	35173
522	38512	35125
523	38618	35081
524	38715	35028
525	38793	34958
526	38872	34889
527	38947	34816
528	39015	34737
529	39073	34650
530	39143	34573
531	39198	34483
532	39242	34382
533	39282	34279
